window_s,temp_cap_c,max_tau_s,experiment,n_windows,tau_min_s,tau_q25_s,tau_median_s,tau_q75_s,tau_max_s
256,100,1200,TS0330F,0,,,,,
256,100,1200,TS0330G,0,,,,,
256,100,1200,TS0330H,0,,,,,
256,120,300,TS0330A,0,,,,,
256,120,300,TS0330B,0,,,,,
256,120,300,TS0330C,0,,,,,
256,120,300,TS0330D,0,,,,,
256,120,300,TS0330E,0,,,,,
256,120,300,TS0330F,0,,,,,
256,120,300,TS0330G,0,,,,,
256,120,300,TS0330H,0,,,,,
256,120,600,TS0330A,5,423.89,433.89,443.89,453.89,463.89
256,120,600,TS0330B,4,457.36,464.86,472.36,479.86,487.36
256,120,600,TS0330C,0,,,,,
256,120,600,TS0330D,0,,,,,
256,120,600,TS0330E,2,380.79999999999995,383.29999999999995,385.79999999999995,388.29999999999995,390.79999999999995
256,120,600,TS0330F,0,,,,,
256,120,600,TS0330G,0,,,,,
256,120,600,TS0330H,0,,,,,
256,120,900,TS0330A,5,423.89,433.89,443.89,453.89,463.89
256,120,900,TS0330B,4,457.36,464.86,472.36,479.86,487.36
256,120,900,TS0330C,0,,,,,
256,120,900,TS0330D,0,,,,,
256,120,900,TS0330E,2,380.79999999999995,383.29999999999995,385.79999999999995,388.29999999999995,390.79999999999995
256,120,900,TS0330F,0,,,,,
256,120,900,TS0330G,0,,,,,
256,120,900,TS0330H,0,,,,,
256,120,1200,TS0330A,5,423.89,433.89,443.89,453.89,463.89
256,120,1200,TS0330B,4,457.36,464.86,472.36,479.86,487.36
256,120,1200,TS0330C,0,,,,,
256,120,1200,TS0330D,0,,,,,
256,120,1200,TS0330E,2,380.79999999999995,383.29999999999995,385.79999999999995,388.29999999999995,390.79999999999995
256,120,1200,TS0330F,0,,,,,
256,120,1200,TS0330G,0,,,,,
256,120,1200,TS0330H,0,,,,,
256,150,300,TS0330A,10,203.89,226.39,248.89,271.39,293.89
256,150,300,TS0330B,9,217.36,237.36,257.36,277.36,297.36
256,150,300,TS0330C,3,277.94000000000005,282.94000000000005,287.94000000000005,292.94000000000005,297.94000000000005
256,150,300,TS0330D,7,237.01,252.01,267.01,282.01,297.01
256,150,300,TS0330E,15,150.79999999999995,185.79999999999995,220.79999999999995,255.79999999999995,290.79999999999995
256,150,300,TS0330F,11,199.35000000000002,224.35000000000002,249.35000000000002,274.35,299.35
256,150,300,TS0330G,7,235.33000000000004,250.33000000000004,265.33000000000004,280.33000000000004,295.33000000000004
256,150,300,TS0330H,14,163.86,196.36,228.86,261.36,293.86
256,150,600,TS0330A,27,203.89,268.89,333.89,398.89,463.89
256,150,600,TS0330B,28,217.36,284.86,352.36,419.86,487.36
256,150,600,TS0330C,19,277.94000000000005,322.94000000000005,367.94000000000005,412.94000000000005,457.94000000000005
256,150,600,TS0330D,18,237.01,279.51,322.01,364.51,407.01
256,150,600,TS0330E,25,150.79999999999995,210.79999999999995,270.79999999999995,330.79999999999995,390.79999999999995
256,150,600,TS0330F,19,199.35000000000002,244.35000000000002,289.35,334.35,379.35
256,150,600,TS0330G,17,235.33000000000004,275.33000000000004,315.33000000000004,355.33000000000004,395.33000000000004
256,150,600,TS0330H,19,163.86,208.86,253.86,298.86,343.86
256,150,900,TS0330A,27,203.89,268.89,333.89,398.89,463.89
256,150,900,TS0330B,28,217.36,284.86,352.36,419.86,487.36
256,150,900,TS0330C,19,277.94000000000005,322.94000000000005,367.94000000000005,412.94000000000005,457.94000000000005
256,150,900,TS0330D,18,237.01,279.51,322.01,364.51,407.01
256,150,900,TS0330E,25,150.79999999999995,210.79999999999995,270.79999999999995,330.79999999999995,390.79999999999995
256,150,900,TS0330F,19,199.35000000000002,244.35000000000002,289.35,334.35,379.35
256,150,900,TS0330G,17,235.33000000000004,275.33000000000004,315.33000000000004,355.33000000000004,395.33000000000004
256,150,900,TS0330H,19,163.86,208.86,253.86,298.86,343.86
256,150,1200,TS0330A,27,203.89,268.89,333.89,398.89,463.89
256,150,1200,TS0330B,28,217.36,284.86,352.36,419.86,487.36
256,150,1200,TS0330C,19,277.94000000000005,322.94000000000005,367.94000000000005,412.94000000000005,457.94000000000005
256,150,1200,TS0330D,18,237.01,279.51,322.01,364.51,407.01
256,150,1200,TS0330E,25,150.79999999999995,210.79999999999995,270.79999999999995,330.79999999999995,390.79999999999995
256,150,1200,TS0330F,19,199.35000000000002,244.35000000000002,289.35,334.35,379.35
256,150,1200,TS0330G,17,235.33000000000004,275.33000000000004,315.33000000000004,355.33000000000004,395.33000000000004
256,150,1200,TS0330H,19,163.86,208.86,253.86,298.86,343.86
