heldout,model,representation,n_train,n_test,mae_s,rmse_s,medae_s,r2,bias_s
TS0330G,rf,fusion_absolute,249,31,40.25725768386728,42.87871189031414,41.610331051904666,0.7701770083284291,-39.42299328317664
TS0330G,rf,fusion_shape,249,31,24.941245068315496,29.82196094487237,19.832858910084894,0.8888313306753134,19.207829225718328
TS0330H,huber,temperature,247,33,71.80664296686446,72.33363739457576,71.73069432790476,0.422924069993018,71.80664296686446
TS0330H,huber,pressure_absolute,247,33,117.94402518478931,126.38391571224331,130.24257703101512,-0.7617162666278774,94.01081137107768
TS0330H,huber,pressure_shape,247,33,96.3677322130425,112.01949225048112,98.06122687500681,-0.3840110269178971,78.20355248126394
TS0330H,huber,fusion_absolute,247,33,53.63566892275541,56.018660020444806,57.764068329763006,0.6538871025199064,53.63566892275541
TS0330H,huber,fusion_shape,247,33,74.27019488224602,75.37297044902736,75.61661992285991,0.37340977856875535,74.27019488224602
TS0330H,rf,temperature,247,33,76.73096641318755,78.10445704805873,79.7983905477492,0.3271721091060238,76.73096641318755
TS0330H,rf,pressure_absolute,247,33,122.96324967323453,152.02269398005546,115.02785159932426,-1.5489962667228232,115.60148479942902
TS0330H,rf,pressure_shape,247,33,90.90100516708127,106.54976667153787,99.40897785133257,-0.25215287989990753,76.94708081861101
TS0330H,rf,fusion_absolute,247,33,65.58636654471859,66.99817138535619,65.93720996241859,0.5049167313623278,65.58636654471859
TS0330H,rf,fusion_shape,247,33,80.73804880787152,81.90770958674354,79.51814316818502,0.26005078421915595,80.73804880787152
