heldout,k_real_train_experiments,train_experiments,method,representation,n_real_train_windows,n_aug,n_test_windows,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330G,2,TS0330H+TS0330A,real_only,temperature,74,0,31,7,0.9047619047619048,0.8421768707482993,0.5555555555555556,0.7321428571428572
TS0330G,2,TS0330H+TS0330A,real_only,fusion_absolute,74,0,31,7,0.75,0.782258064516129,0.3529411764705882,0.4910714285714285
TS0330G,2,TS0330H+TS0330A,classical_anchor_matched,temperature,74,45,31,7,0.8690476190476191,0.8202614379084967,0.5,0.6904761904761905
TS0330G,2,TS0330H+TS0330A,classical_anchor_matched,fusion_absolute,74,45,31,7,0.9107142857142858,0.8468864468864468,0.56,0.7708333333333333
TS0330G,2,TS0330H+TS0330A,racdiff,temperature,74,45,31,7,1.0,0.9999999999999998,0.6363636363636364,0.8333333333333333
TS0330G,2,TS0330H+TS0330A,racdiff,fusion_absolute,74,45,31,7,1.0,0.9999999999999998,0.6086956521739131,0.8125
TS0330G,4,TS0330H+TS0330A+TS0330B+TS0330C,real_only,temperature,148,0,31,7,1.0,0.9999999999999998,0.7368421052631579,0.8958333333333333
TS0330G,4,TS0330H+TS0330A+TS0330B+TS0330C,real_only,fusion_absolute,148,0,31,7,0.8154761904761905,0.8003663003663002,0.4761904761904761,0.6696428571428572
TS0330G,4,TS0330H+TS0330A+TS0330B+TS0330C,classical_anchor_matched,temperature,148,11,31,7,1.0,0.9999999999999998,0.7368421052631579,0.8958333333333333
TS0330G,4,TS0330H+TS0330A+TS0330B+TS0330C,classical_anchor_matched,fusion_absolute,148,11,31,7,0.75,0.7817460317460316,0.5263157894736842,0.7113095238095238
TS0330G,4,TS0330H+TS0330A+TS0330B+TS0330C,racdiff,temperature,148,11,31,7,1.0,0.9999999999999998,0.7368421052631579,0.8958333333333333
TS0330G,4,TS0330H+TS0330A+TS0330B+TS0330C,racdiff,fusion_absolute,148,11,31,7,0.9761904761904762,0.9325396825396824,0.6666666666666666,0.8541666666666667
TS0330G,6,TS0330H+TS0330A+TS0330B+TS0330C+TS0330D+TS0330E,real_only,temperature,219,0,31,7,0.8809523809523809,0.8266806722689075,0.6666666666666666,0.7946428571428572
TS0330G,6,TS0330H+TS0330A+TS0330B+TS0330C+TS0330D+TS0330E,real_only,fusion_absolute,219,0,31,7,0.7142857142857143,0.7751152073732719,0.4761904761904761,0.6696428571428572
TS0330G,6,TS0330H+TS0330A+TS0330B+TS0330C+TS0330D+TS0330E,classical_anchor_matched,temperature,219,39,31,7,1.0,0.9999999999999998,0.7777777777777778,0.9166666666666669
