heldout,method,model,representation,pair_count,mae_s,rmse_s,medae_s,r2,bias_s,aug_mean
TS0330C,real_only,rf,pressure_absolute,3,77.2797090771991,100.12201719795468,58.64994784937087,-0.1646797254171792,-36.20968074699802,0.0
TS0330C,real_only,rf,pressure_shape,3,99.41617835811525,110.86316933533357,99.67731088027455,-0.4122851931205089,-59.397224600649956,0.0
TS0330C,real_only,rf,temperature,3,76.4363502821135,77.40699129010609,75.71859178994167,0.30675227975187214,-76.4363502821135,0.0
TS0330D,classical_anchor_matched,huber,fusion_absolute,3,249.15200950727515,249.73768477606896,246.85761510913414,-10.795379479962719,180.93957681268114,71.66666666666667
TS0330D,classical_anchor_matched,huber,fusion_shape,3,38.71765115425497,41.949992065745455,37.516224673504695,0.7664641543636735,-36.75189780883815,71.66666666666667
TS0330D,classical_anchor_matched,huber,pressure_absolute,3,240.68709826254135,263.6181560378438,255.71402518445925,-8.199072484173199,-144.36106038103358,71.66666666666667
TS0330D,classical_anchor_matched,huber,pressure_shape,3,153.69291820589865,193.98381054906585,135.72734045268402,-3.751783091278193,-26.252259774730437,71.66666666666667
TS0330D,classical_anchor_matched,huber,temperature,3,31.20395878940417,34.60628141567946,27.15944657948926,0.8346283046251536,-29.781462009688614,71.66666666666667
TS0330D,classical_anchor_matched,rf,fusion_absolute,3,33.814150676289636,37.560255955528774,31.904519554680714,0.8116171096080129,-25.870424903733824,71.66666666666667
TS0330D,classical_anchor_matched,rf,fusion_shape,3,41.67975130624855,45.56457526602829,37.74358221498726,0.7143553838403588,-39.406450180312056,71.66666666666667
TS0330D,classical_anchor_matched,rf,pressure_absolute,3,108.12431677468622,131.8809598848553,90.36873144284243,-1.051571990376826,63.51209896909837,71.66666666666667
TS0330D,classical_anchor_matched,rf,pressure_shape,3,90.0984096718061,106.2882697193124,90.55731393931744,-0.36165089675707257,-19.100789171935897,71.66666666666667
TS0330D,classical_anchor_matched,rf,temperature,3,36.315996263242106,40.383033822996886,33.48695742159317,0.7898255235577829,-35.886080052342,71.66666666666667
TS0330D,racdiff,huber,fusion_absolute,3,260.83196473948766,261.81245857687634,260.8077202509957,-13.255219256609772,204.7140913811003,71.66666666666667
TS0330D,racdiff,huber,fusion_shape,3,43.60373642763998,47.821077314642984,42.65900608589462,0.660438838221144,-38.44265181881591,71.66666666666667
TS0330D,racdiff,huber,pressure_absolute,3,134.07792811269175,156.96202757384847,136.27640973252906,-2.191478503858937,93.90588490590744,71.66666666666667
TS0330D,racdiff,huber,pressure_shape,3,111.7473495144413,143.97797689979558,94.76974223349788,-1.6958655369005424,-21.085734876997194,71.66666666666667
TS0330D,racdiff,huber,temperature,3,33.740834459058675,36.13716463959744,32.78697012471215,0.8167797439478726,-30.261575276663113,71.66666666666667
TS0330D,racdiff,rf,fusion_absolute,3,41.47055595519609,44.43315295230374,40.64758759172717,0.7279938132954067,-34.98245040414352,71.66666666666667
TS0330D,racdiff,rf,fusion_shape,3,40.196948100418844,43.7177508896192,41.22753167484755,0.7402543462753348,-37.31900649490226,71.66666666666667
TS0330D,racdiff,rf,pressure_absolute,3,94.27099119740824,110.73400508506131,86.72460384331366,-0.44166871766231974,58.31020591592027,71.66666666666667
TS0330D,racdiff,rf,pressure_shape,3,88.27239173485692,105.30756203630455,87.05902479899937,-0.3553992489146742,-17.82911452493943,71.66666666666667
TS0330D,racdiff,rf,temperature,3,38.00354930254866,40.76177756099972,37.69723499352265,0.780031646773509,-36.46903488688553,71.66666666666667
TS0330D,real_only,huber,fusion_absolute,3,311.6469130234195,311.9729412446766,313.0660557508742,-18.392970509691562,238.79458194659628,0.0
TS0330D,real_only,huber,fusion_shape,3,59.69340612596193,67.00297811891345,57.0851875351947,0.4540779295220694,-39.446130168024986,0.0
TS0330D,real_only,huber,pressure_absolute,3,345.12511920410566,369.18238828536704,335.9746514632524,-24.822542129130312,230.33814891900514,0.0
TS0330D,real_only,huber,pressure_shape,3,92.06204295454565,119.94397562091264,69.56251632578413,-0.7717069606145345,-30.245869358498013,0.0
