heldout,train_experiments,method,representation,n_real_train_windows,n_aug,n_aug_positive,n_aug_negative,n_test_windows,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330C,TS0330F+TS0330G,classical_classmatched,pressure_shape,64,64,32,32,33,3,0.6666666666666666,0.1596153846153846,0.24,0.6833333333333333
TS0330C,TS0330F+TS0330G,classical_classmatched,fusion_absolute,64,64,32,32,33,3,1.0,1.0,0.2608695652173913,0.7166666666666667
TS0330C,TS0330F+TS0330G,classical_classmatched,fusion_shape,64,64,32,32,33,3,0.9333333333333332,0.4777777777777778,0.4,0.85
TS0330C,TS0330F+TS0330G,racdiff,temperature,64,64,32,32,33,3,1.0,1.0,0.3529411764705882,0.8166666666666667
TS0330C,TS0330F+TS0330G,racdiff,pressure_absolute,64,64,32,32,33,3,0.5,0.1156045751633987,0.1666666666666666,0.5
TS0330C,TS0330F+TS0330G,racdiff,pressure_shape,64,64,32,32,33,3,0.4222222222222223,0.1048148148148148,0.0,0.4166666666666667
TS0330C,TS0330F+TS0330G,racdiff,fusion_absolute,64,64,32,32,33,3,1.0,1.0,0.24,0.6833333333333333
TS0330C,TS0330F+TS0330G,racdiff,fusion_shape,64,64,32,32,33,3,1.0,1.0,0.4,0.85
TS0330C,TS0330H+TS0330A,real_only,temperature,74,0,0,0,33,3,1.0,1.0,0.3157894736842105,0.7833333333333333
TS0330C,TS0330H+TS0330A,real_only,pressure_absolute,74,0,0,0,33,3,0.8,0.242063492063492,0.3636363636363636,0.7333333333333334
TS0330C,TS0330H+TS0330A,real_only,pressure_shape,74,0,0,0,33,3,0.6777777777777778,0.1767857142857142,0.1428571428571428,0.5
TS0330C,TS0330H+TS0330A,real_only,fusion_absolute,74,0,0,0,33,3,1.0,1.0,0.2727272727272727,0.7333333333333334
TS0330C,TS0330H+TS0330A,real_only,fusion_shape,74,0,0,0,33,3,0.9555555555555556,0.7,0.3,0.7666666666666666
TS0330C,TS0330H+TS0330A,classical_classmatched,temperature,74,24,4,20,33,3,1.0,1.0,0.3157894736842105,0.7833333333333333
TS0330C,TS0330H+TS0330A,classical_classmatched,pressure_absolute,74,24,4,20,33,3,0.6444444444444445,0.1525252525252525,0.2352941176470588,0.6333333333333333
TS0330C,TS0330H+TS0330A,classical_classmatched,pressure_shape,74,24,4,20,33,3,0.5777777777777778,0.1368347338935574,0.1333333333333333,0.4833333333333333
TS0330C,TS0330H+TS0330A,classical_classmatched,fusion_absolute,74,24,4,20,33,3,1.0,1.0,0.3,0.7666666666666666
TS0330C,TS0330H+TS0330A,classical_classmatched,fusion_shape,74,24,4,20,33,3,0.9,0.3873015873015873,0.3,0.7666666666666666
TS0330C,TS0330H+TS0330A,racdiff,temperature,74,24,4,20,33,3,1.0,1.0,0.3,0.7666666666666666
